year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,2.348920,0.507887,2.856810,NaN,6.899000,0.000000,7.273000,NaN,0.750008,0.600000
2000,1,2,730487,2.440440,0.539314,2.979760,NaN,6.883000,0.191597,7.990000,NaN,0.813449,0.000000
2000,1,3,730488,2.481480,0.551104,3.032580,NaN,7.305000,1.221842,8.294000,NaN,0.883854,0.918000
2000,1,4,730489,3.099570,-0.163317,2.936260,NaN,7.507000,0.768073,7.738000,NaN,0.352125,11.526000
2000,1,5,730490,1.854190,0.679347,2.533530,NaN,6.997000,1.011097,5.097000,NaN,3.386972,0.102000
2000,1,6,730491,3.093140,-0.001055,3.092080,NaN,6.727000,1.291727,7.754000,NaN,1.747055,2.652000
2000,1,7,730492,2.276260,0.725277,3.001530,NaN,7.148000,1.137229,6.695000,NaN,1.855629,0.000000
2000,1,8,730493,2.893530,0.127777,3.021310,NaN,7.168000,1.367167,6.613000,NaN,0.660121,0.816000
2000,1,9,730494,1.507120,1.064470,2.571590,NaN,6.637000,0.572887,4.119000,90.229167,3.991935,0.000000
2000,1,10,730495,1.480360,0.611062,2.091420,NaN,6.074000,0.112155,1.212000,62.666667,2.903362,0.000000
2000,1,11,730496,0.961908,1.103620,2.065530,NaN,5.324000,0.633555,1.052000,85.000000,4.037793,0.204000
2000,1,12,730497,0.823842,1.029250,1.853090,NaN,5.020000,0.491084,-0.268000,83.666667,4.086818,0.000000
2000,1,13,730498,2.054600,0.028518,2.083120,NaN,4.730000,0.814845,1.385000,50.354167,2.493227,0.612000
2000,1,14,730499,2.007230,0.193496,2.200730,NaN,4.845000,0.025614,2.452000,33.354167,1.710986,0.000000
2000,1,15,730500,1.528780,0.649626,2.178400,NaN,5.153000,0.448885,2.664000,44.541667,2.189623,0.000000
2000,1,16,730501,2.205090,0.167902,2.373000,NaN,5.195000,0.209676,4.148000,38.895833,1.971959,1.224000
2000,1,17,730502,2.363620,0.281199,2.644820,NaN,5.898000,0.420253,5.665000,60.791667,2.821338,0.000000
2000,1,18,730503,2.108420,0.706643,2.815060,NaN,6.349000,1.167130,6.445000,28.875000,1.350495,0.204000
2000,1,19,730504,1.687750,0.777610,2.465360,NaN,6.213000,1.298302,4.177000,33.354167,1.549262,0.000000
2000,1,20,730505,3.531590,-1.073350,2.458240,NaN,5.950000,0.539682,3.799000,19.875000,0.942908,0.408000
2000,1,21,730506,2.191870,0.567611,2.759480,NaN,6.183000,0.589734,5.073000,39.166667,1.742065,0.714000
2000,1,22,730507,2.145370,0.601944,2.747310,NaN,6.087000,0.851497,4.551000,73.770833,3.503171,6.120000
2000,1,23,730508,1.282250,1.117550,2.399800,NaN,6.055000,0.783965,2.139000,60.104167,2.913289,0.306000
2000,1,24,730509,1.307070,0.383099,1.690170,NaN,5.378000,0.086305,-2.459000,119.833333,4.815764,0.000000
2000,1,25,730510,2.279360,-0.250862,2.028500,NaN,4.585000,0.459378,0.024000,77.187500,3.432605,0.000000
2000,1,26,730511,2.167870,-0.007358,2.160510,NaN,4.227000,1.201212,1.251000,38.604167,1.917547,0.000000
2000,1,27,730512,1.771010,0.190427,1.961440,NaN,4.170000,0.864486,0.383000,122.145833,5.786276,0.000000
